Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CinemaList_Sorting,,,,2023-11-16 16:32:05,2023-11-16 16:32:42,36.904s,PASSED
,,,,,,,
Test Cases/TC_CinemaApp_ML_02,,Sort movies by release date in both accending and decending orders,,2023-11-16 16:32:06,2023-11-16 16:32:42,36.634s,PASSED
"callTestCase(findTestCase(""TC_CinemaApp_ML_01""), [:], STOP_ON_FAILURE)",,Open Cinema Listing Page,,2023-11-16 16:32:06,2023-11-16 16:32:25,18.749s,PASSED
"tap(findTestObject(""MovieListing_sortings/movieListing_sortButton""), 0)",,Tap Sort button,,2023-11-16 16:32:25,2023-11-16 16:32:27,1.592s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date""), 0)",,Tap Release Date,,2023-11-16 16:32:27,2023-11-16 16:32:28,1.940s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date accending and decending""), 0)",,Tap Accending button,,2023-11-16 16:32:28,2023-11-16 16:32:29,0.484s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:32:29,2023-11-16 16:32:33,4.028s,PASSED
"takeScreenshotAsCheckpoint(""Sort Release Date accending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:32:33,2023-11-16 16:32:35,2.319s,PASSED
"tap(findTestObject(""MovieListing_sortings/release date/sortBy - Release date accending and decending""), 0)",,Tap Decending button,,2023-11-16 16:32:35,2023-11-16 16:32:36,0.487s,PASSED
"delay(4, STOP_ON_FAILURE)",,Wait until page load,,2023-11-16 16:32:36,2023-11-16 16:32:40,4.008s,PASSED
"takeScreenshotAsCheckpoint(""Sort Release Date decending"", [])",,Take Screenshot as Checkpoint,,2023-11-16 16:32:40,2023-11-16 16:32:42,2.579s,PASSED
